Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 81442.80it/s]
Loading weights:   0%|          | 0/750 [00:00<?, ?it/s]Loading weights:   7%|▋         | 50/750 [00:00<00:01, 477.93it/s]Loading weights:  13%|█▎        | 98/750 [00:00<00:01, 478.99it/s]Loading weights:  20%|██        | 152/750 [00:00<00:01, 506.31it/s]Loading weights:  27%|██▋       | 203/750 [00:00<00:01, 474.25it/s]Loading weights:  34%|███▎      | 252/750 [00:00<00:01, 479.10it/s]Loading weights:  40%|████      | 301/750 [00:00<00:00, 468.14it/s]Loading weights:  48%|████▊     | 358/750 [00:00<00:00, 493.91it/s]Loading weights:  83%|████████▎ | 626/750 [00:00<00:00, 1160.93it/s]Loading weights: 100%|██████████| 750/750 [00:00<00:00, 862.85it/s] 
[cfg] mode=compress stain=1 n_q=8 use_text=1 | trainable=39.76M | train 4576 | bs=2
[ep-1 init] mAP@0/1/2=[np.float64(0.02), np.float64(0.02), np.float64(0.12)] ndet=276 ngt=647
  ep1 step1900/2288 loss 0.9555 | 1.9 samp/s
  ep1 step1950/2288 loss 0.9550 | 1.9 samp/s
  ep1 step2000/2288 loss 0.9558 | 1.9 samp/s
  ep1 step2050/2288 loss 0.9548 | 1.9 samp/s
  ep1 step2100/2288 loss 0.9540 | 1.9 samp/s
  ep1 step2150/2288 loss 0.9538 | 1.9 samp/s
  ep1 step2200/2288 loss 0.9534 | 1.9 samp/s
  ep1 step2250/2288 loss 0.9529 | 1.9 samp/s
[ep1] loss 0.9519 | mAP@0/1/2=[np.float64(0.09), np.float64(0.65), np.float64(1.79)] ndet=552 ngt=647 | 1.8 samp/s
  ep2 step50/2288 loss 0.9420 | 1.9 samp/s
  ep2 step100/2288 loss 0.9249 | 1.9 samp/s
  ep2 step150/2288 loss 0.9348 | 1.9 samp/s
  ep2 step200/2288 loss 0.9335 | 1.9 samp/s
  ep2 step250/2288 loss 0.9318 | 1.9 samp/s
  ep2 step300/2288 loss 0.9320 | 1.9 samp/s
  ep2 step350/2288 loss 0.9347 | 1.9 samp/s
  ep2 step400/2288 loss 0.9310 | 1.9 samp/s
  ep2 step450/2288 loss 0.9307 | 1.9 samp/s
  ep2 step500/2288 loss 0.9318 | 1.9 samp/s
  ep2 step550/2288 loss 0.9295 | 1.9 samp/s
  ep2 step600/2288 loss 0.9298 | 1.9 samp/s
  ep2 step650/2288 loss 0.9277 | 1.9 samp/s
  ep2 step700/2288 loss 0.9268 | 1.9 samp/s
  ep2 step750/2288 loss 0.9271 | 1.9 samp/s
  ep2 step800/2288 loss 0.9293 | 1.9 samp/s
  ep2 step850/2288 loss 0.9275 | 1.9 samp/s
  ep2 step900/2288 loss 0.9304 | 1.9 samp/s
  ep2 step950/2288 loss 0.9329 | 1.9 samp/s
  ep2 step1000/2288 loss 0.9343 | 1.9 samp/s
  ep2 step1050/2288 loss 0.9347 | 1.9 samp/s
