[cfg] refine4 W=8 mode=film n_lang=2 stages=3 reject=True | pairs 3498 (pos 3222 / neg 276)
[ep0] loss 1.946 | REFINED @0/1/2=[np.float64(3.12), np.float64(18.35), np.float64(37.48)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 2309 it/s
[ep1] loss 1.605 | REFINED @0/1/2=[np.float64(3.48), np.float64(18.99), np.float64(39.08)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4616 it/s
[ep2] loss 1.548 | REFINED @0/1/2=[np.float64(3.91), np.float64(20.52), np.float64(39.59)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5353 it/s
[ep3] loss 1.533 | REFINED @0/1/2=[np.float64(4.5), np.float64(21.61), np.float64(42.1)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5736 it/s
[ep4] loss 1.500 | REFINED @0/1/2=[np.float64(4.55), np.float64(23.88), np.float64(44.34)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5135 it/s
[ep5] loss 1.450 | REFINED @0/1/2=[np.float64(4.67), np.float64(24.81), np.float64(46.63)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5121 it/s
[ep6] loss 1.423 | REFINED @0/1/2=[np.float64(4.92), np.float64(29.23), np.float64(48.92)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5324 it/s
[ep7] loss 1.388 | REFINED @0/1/2=[np.float64(5.95), np.float64(29.45), np.float64(50.45)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5011 it/s
[ep8] loss 1.339 | REFINED @0/1/2=[np.float64(5.72), np.float64(30.11), np.float64(51.65)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5045 it/s
[ep9] loss 1.326 | REFINED @0/1/2=[np.float64(6.05), np.float64(31.29), np.float64(51.34)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5277 it/s
[ep10] loss 1.278 | REFINED @0/1/2=[np.float64(6.38), np.float64(29.52), np.float64(51.03)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5073 it/s
[ep11] loss 1.245 | REFINED @0/1/2=[np.float64(4.92), np.float64(28.3), np.float64(47.47)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5368 it/s
[ep12] loss 1.206 | REFINED @0/1/2=[np.float64(4.97), np.float64(31.29), np.float64(51.49)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5519 it/s
[ep13] loss 1.180 | REFINED @0/1/2=[np.float64(5.53), np.float64(30.73), np.float64(52.02)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5401 it/s
[ep14] loss 1.132 | REFINED @0/1/2=[np.float64(4.88), np.float64(29.16), np.float64(50.25)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5610 it/s
