[cfg] refine4 W=8 mode=film n_lang=2 stages=3 reject=False | pairs 3222 (pos 3222 / neg 0)
[ep0] loss 1.969 | REFINED @0/1/2=[np.float64(3.08), np.float64(17.51), np.float64(36.06)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 2275 it/s
[ep1] loss 1.597 | REFINED @0/1/2=[np.float64(3.02), np.float64(17.18), np.float64(36.25)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4565 it/s
[ep2] loss 1.536 | REFINED @0/1/2=[np.float64(3.96), np.float64(19.97), np.float64(39.57)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5563 it/s
[ep3] loss 1.506 | REFINED @0/1/2=[np.float64(3.97), np.float64(20.23), np.float64(41.11)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5184 it/s
[ep4] loss 1.477 | REFINED @0/1/2=[np.float64(5.11), np.float64(22.76), np.float64(43.42)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5385 it/s
[ep5] loss 1.451 | REFINED @0/1/2=[np.float64(5.28), np.float64(24.37), np.float64(45.64)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4999 it/s
[ep6] loss 1.404 | REFINED @0/1/2=[np.float64(5.39), np.float64(25.29), np.float64(46.56)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4733 it/s
[ep7] loss 1.373 | REFINED @0/1/2=[np.float64(5.47), np.float64(27.57), np.float64(48.79)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5020 it/s
[ep8] loss 1.317 | REFINED @0/1/2=[np.float64(4.8), np.float64(27.37), np.float64(47.19)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5011 it/s
[ep9] loss 1.297 | REFINED @0/1/2=[np.float64(5.06), np.float64(27.18), np.float64(48.62)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5665 it/s
[ep10] loss 1.274 | REFINED @0/1/2=[np.float64(5.72), np.float64(29.96), np.float64(50.42)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5455 it/s
[ep11] loss 1.227 | REFINED @0/1/2=[np.float64(4.22), np.float64(24.68), np.float64(46.04)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5192 it/s
[ep12] loss 1.189 | REFINED @0/1/2=[np.float64(5.38), np.float64(28.45), np.float64(46.26)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5335 it/s
[ep13] loss 1.154 | REFINED @0/1/2=[np.float64(5.33), np.float64(28.73), np.float64(48.28)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5029 it/s
[ep14] loss 1.104 | REFINED @0/1/2=[np.float64(4.14), np.float64(25.7), np.float64(45.27)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5409 it/s
[ep15] loss 1.083 | REFINED @0/1/2=[np.float64(5.1), np.float64(27.38), np.float64(50.11)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5233 it/s
[ep16] loss 1.032 | REFINED @0/1/2=[np.float64(5.02), np.float64(29.55), np.float64(48.19)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4981 it/s
[ep17] loss 0.998 | REFINED @0/1/2=[np.float64(3.8), np.float64(28.57), np.float64(46.83)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5285 it/s
[ep18] loss 0.962 | REFINED @0/1/2=[np.float64(4.23), np.float64(29.84), np.float64(48.52)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5110 it/s
[ep19] loss 0.927 | REFINED @0/1/2=[np.float64(4.59), np.float64(28.11), np.float64(47.51)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5086 it/s
[ep20] loss 0.906 | REFINED @0/1/2=[np.float64(4.19), np.float64(28.97), np.float64(47.77)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5288 it/s
[ep21] loss 0.879 | REFINED @0/1/2=[np.float64(3.83), np.float64(28.7), np.float64(47.43)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5064 it/s
[ep22] loss 0.858 | REFINED @0/1/2=[np.float64(4.36), np.float64(28.55), np.float64(47.16)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5475 it/s
[ep23] loss 0.828 | REFINED @0/1/2=[np.float64(4.1), np.float64(28.28), np.float64(46.22)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5417 it/s
[ep24] loss 0.821 | REFINED @0/1/2=[np.float64(4.15), np.float64(28.57), np.float64(45.91)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5277 it/s
[ep25] loss 0.809 | REFINED @0/1/2=[np.float64(4.07), np.float64(29.11), np.float64(46.07)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5067 it/s
[ep26] loss 0.810 | REFINED @0/1/2=[np.float64(3.87), np.float64(28.76), np.float64(46.14)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5344 it/s
