Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 7052.21it/s]
Loading weights:   0%|          | 0/750 [00:00<?, ?it/s]Loading weights:   7%|▋         | 54/750 [00:00<00:01, 534.65it/s]Loading weights:  14%|█▍        | 108/750 [00:00<00:01, 511.19it/s]Loading weights:  22%|██▏       | 168/750 [00:00<00:01, 544.85it/s]Loading weights:  30%|██▉       | 223/750 [00:00<00:01, 494.84it/s]Loading weights:  37%|███▋      | 274/750 [00:00<00:00, 497.56it/s]Loading weights:  44%|████▍     | 329/750 [00:00<00:00, 513.40it/s]Loading weights:  52%|█████▏    | 390/750 [00:00<00:00, 538.03it/s]Loading weights: 100%|██████████| 750/750 [00:00<00:00, 913.94it/s]
[init] loaded Phase-1 fc from outputs/idx_compress/comp_notext/best.pt (missing 0 unexpected 0)
[cfg] mode=compress stain=0 n_q=8 use_text=0 | trainable=71.20M | train 4576 | bs=2
[ep-1 init] mAP@0/1/2=[np.float64(6.83), np.float64(44.23), np.float64(67.62)] ndet=637 ngt=647
  ep1 step1900/2288 loss 0.4344 | 2.0 samp/s
  ep1 step1950/2288 loss 0.4343 | 2.0 samp/s
  ep1 step2000/2288 loss 0.4335 | 2.0 samp/s
  ep1 step2050/2288 loss 0.4333 | 2.0 samp/s
  ep1 step2100/2288 loss 0.4327 | 2.0 samp/s
  ep1 step2150/2288 loss 0.4321 | 2.0 samp/s
  ep1 step2200/2288 loss 0.4321 | 2.0 samp/s
  ep1 step2250/2288 loss 0.4316 | 2.0 samp/s
[ep1] loss 0.4319 | mAP@0/1/2=[np.float64(8.12), np.float64(40.3), np.float64(66.65)] ndet=651 ngt=647 | 1.9 samp/s
  ep2 step50/2288 loss 0.3613 | 2.0 samp/s
  ep2 step100/2288 loss 0.3604 | 2.0 samp/s
  ep2 step150/2288 loss 0.3729 | 2.0 samp/s
  ep2 step200/2288 loss 0.3752 | 2.0 samp/s
  ep2 step250/2288 loss 0.3721 | 2.0 samp/s
  ep2 step300/2288 loss 0.3725 | 2.0 samp/s
  ep2 step350/2288 loss 0.3750 | 2.0 samp/s
  ep2 step400/2288 loss 0.3717 | 2.0 samp/s
  ep2 step450/2288 loss 0.3723 | 2.0 samp/s
  ep2 step500/2288 loss 0.3744 | 2.0 samp/s
  ep2 step550/2288 loss 0.3764 | 2.0 samp/s
  ep2 step600/2288 loss 0.3762 | 2.0 samp/s
  ep2 step650/2288 loss 0.3761 | 2.0 samp/s
  ep2 step700/2288 loss 0.3749 | 2.0 samp/s
  ep2 step750/2288 loss 0.3757 | 2.0 samp/s
  ep2 step800/2288 loss 0.3759 | 2.0 samp/s
  ep2 step850/2288 loss 0.3774 | 2.0 samp/s
  ep2 step900/2288 loss 0.3792 | 2.0 samp/s
  ep2 step950/2288 loss 0.3798 | 2.0 samp/s
  ep2 step1000/2288 loss 0.3807 | 2.0 samp/s
  ep2 step1050/2288 loss 0.3812 | 2.0 samp/s
  ep2 step1100/2288 loss 0.3829 | 2.0 samp/s
  ep2 step1150/2288 loss 0.3828 | 2.0 samp/s
  ep2 step1200/2288 loss 0.3821 | 2.0 samp/s
  ep2 step1250/2288 loss 0.3828 | 2.0 samp/s
  ep2 step1300/2288 loss 0.3836 | 2.0 samp/s
  ep2 step1350/2288 loss 0.3848 | 2.0 samp/s
  ep2 step1400/2288 loss 0.3848 | 2.0 samp/s
  ep2 step1450/2288 loss 0.3853 | 2.0 samp/s
  ep2 step1500/2288 loss 0.3867 | 2.0 samp/s
  ep2 step1550/2288 loss 0.3864 | 2.0 samp/s
  ep2 step1600/2288 loss 0.3869 | 2.0 samp/s
  ep2 step1650/2288 loss 0.3868 | 2.0 samp/s
  ep2 step1700/2288 loss 0.3876 | 2.0 samp/s
  ep2 step1750/2288 loss 0.3872 | 2.0 samp/s
  ep2 step1800/2288 loss 0.3883 | 2.0 samp/s
  ep2 step1850/2288 loss 0.3884 | 2.0 samp/s
  ep2 step1900/2288 loss 0.3879 | 2.0 samp/s
  ep2 step1950/2288 loss 0.3876 | 2.0 samp/s
  ep2 step2000/2288 loss 0.3880 | 2.0 samp/s
  ep2 step2050/2288 loss 0.3875 | 2.0 samp/s
  ep2 step2100/2288 loss 0.3869 | 2.0 samp/s
  ep2 step2150/2288 loss 0.3873 | 2.0 samp/s
  ep2 step2200/2288 loss 0.3879 | 2.0 samp/s
  ep2 step2250/2288 loss 0.3881 | 2.0 samp/s
[ep2] loss 0.3881 | mAP@0/1/2=[np.float64(9.42), np.float64(46.97), np.float64(72.52)] ndet=664 ngt=647 | 1.9 samp/s
[done] sft_lora_v2 best mAP@2 72.52
